,dt,temp,pressure,humidity,temp_min,temp_max,wind_speed,wind_deg,description,icon,main
0,1521811800,48.2,994,66,48.2,48.2,12.75,250,proximity shower rai,09d,Rain
1,1521837000,43.83,995,93,42.8,44.6,5.82,60,light rain,10n,Rain
2,1521847800,41.0,998,86,41.0,41.0,3.36,90,light rain,10n,Rain
3,1521886967,42.97,1012,100,42.97,42.97,10.2,345,broken clouds,04d,Clouds
4,1521896400,48.2,1004,96,48.2,48.2,6.93,320,broken clouds,04d,Clouds
5,1521907200,50.92,1004,93,50.0,51.8,8.05,320,scattered clouds,03d,Clouds
6,1521918000,43.72,1006,60,42.8,44.6,5.82,160,broken clouds,04n,Clouds
7,1521928800,41.88,1007,75,41.0,42.8,9.17,300,broken clouds,04n,Clouds
8,1521940335,42.29,1017,100,42.29,42.29,10.45,268,few clouds,02n,Clouds
9,1521940629,42.29,1017,100,42.29,42.29,10.45,268,few clouds,02n,Clouds
10,1521950400,34.68,1010,93,33.8,35.6,6.93,240,few clouds,02n,Clouds
11,1521961200,34.68,1012,93,33.8,35.6,9.17,260,scattered clouds,03d,Clouds
12,1521972000,44.6,1013,75,44.6,44.6,10.29,250,few clouds,02d,Clouds
13,1521982800,49.08,1014,57,48.2,50.0,11.41,290,scattered clouds,03d,Clouds
14,1521993600,50.92,1014,53,50.0,51.8,8.05,290,scattered clouds,03d,Clouds
15,1522004400,42.78,1015,70,41.0,44.6,5.82,290,broken clouds,04n,Clouds
16,1522015200,42.8,1016,81,42.8,42.8,8.05,290,broken clouds,04n,Clouds
17,1522026000,39.18,1016,86,37.4,41.0,6.93,250,broken clouds,04n,Clouds
18,1522036800,36.46,1016,86,33.8,39.2,11.41,270,scattered clouds,03n,Clouds
19,1522047600,38.28,1016,93,37.4,39.2,6.93,260,broken clouds,04d,Clouds
20,1522056600,46.4,1016,65,46.4,46.4,6.93,150,broken clouds,04d,Clouds
21,1522058400,47.19,1016,61,46.4,48.2,9.17,140,broken clouds,04d,Clouds
22,1522069200,51.01,1014,61,50.0,51.8,9.17,110,broken clouds,04d,Clouds
23,1522071000,50.88,1014,62,50.0,51.8,10.29,110,broken clouds,04d,Clouds
24,1522080000,50.0,1012,71,50.0,50.0,8.05,190,light rain,10d,Rain
25,1522089000,47.44,1010,87,46.4,48.2,12.75,140,light rain,10d,Rain
26,1522099800,46.4,1006,87,46.4,46.4,18.34,160,light rain,10n,Rain
27,1522110600,50.0,1003,93,50.0,50.0,5.82,170,light rain,10n,Rain
28,1522121400,50.0,1001,93,50.0,50.0,12.75,240,broken clouds,04n,Clouds
29,1522132200,45.64,1002,93,44.6,46.4,24.16,280,light intensity driz,09d,Drizzle
30,1522143000,46.4,1004,81,46.4,46.4,21.92,280,light intensity driz,09d,Drizzle
31,1522153800,47.32,1005,75,46.4,48.2,17.22,280,proximity shower rai,09d,Rain
32,1522166400,47.41,1006,75,46.4,48.2,13.87,270,broken clouds,04d,Clouds
33,1522175400,43.84,1007,87,42.8,44.6,12.75,290,proximity shower rai,09d,Rain
34,1522186200,39.97,1006,80,39.2,41.0,9.17,250,scattered clouds,03n,Clouds
35,1522197000,39.2,1006,86,39.2,39.2,9.17,250,broken clouds,04n,Clouds
36,1522207800,38.16,1004,86,37.4,39.2,11.41,250,broken clouds,04n,Clouds
37,1522218600,37.4,1003,93,37.4,37.4,10.29,270,broken clouds,04d,Clouds
38,1522231200,41.79,1004,75,41.0,42.8,17.22,280,broken clouds,04d,Clouds
39,1522265400,41.0,1001,100,41.0,41.0,5.82,230,proximity shower rai,09n,Rain
40,1522276200,37.4,1000,74,37.4,37.4,6.93,210,scattered clouds,03n,Clouds
41,1522287000,37.65,998,100,35.6,39.2,4.7,130,broken clouds,04n,Clouds
42,1522297800,33.8,997,100,33.8,33.8,2.24,360,few clouds,02n,Clouds
43,1522308600,38.17,996,86,37.4,39.2,6.93,140,broken clouds,04d,Clouds
44,1522319400,41.88,996,87,41.0,42.8,16.11,120,light intensity show,09d,Rain
45,1522330200,41.0,995,86,41.0,41.0,13.87,130,light rain,10d,Rain
46,1522342800,41.0,994,93,41.0,41.0,8.05,90,light rain,10d,Rain
47,1522351800,39.2,995,93,39.2,39.2,9.17,150,light rain,10n,Rain
48,1522362600,37.4,994,93,37.4,37.4,5.82,350,light rain,10n,Rain
49,1522791000,44.6,989,75,44.6,44.6,10.29,180,scattered clouds,03n,Clouds
50,1522801800,42.8,989,87,42.8,42.8,4.7,130,broken clouds,04n,Clouds
51,1522852200,41.92,995,75,41.0,42.8,19.46,340,broken clouds,04d,Clouds
52,1522863000,40.24,1000,86,39.2,41.0,16.11,350,proximity shower rai,09d,Rain
53,1522873800,39.2,1004,100,39.2,39.2,12.75,330,light intensity show,09n,Rain
54,1522884600,32.0,1008,100,32.0,32.0,9.17,310,scattered clouds,03n,Clouds
55,1522895400,29.16,1010,86,28.4,30.2,8.05,280,few clouds,02n,Clouds
56,1522906200,28.13,1012,86,26.6,30.2,8.05,260,few clouds,02n,Clouds
57,1522918800,42.8,1014,56,42.8,42.8,5.82,150,Sky is Clear,01d,Clear
58,1522929600,45.52,1013,70,44.6,46.4,20.8,140,broken clouds,04d,Clouds
59,1522940400,45.52,1012,70,44.6,46.4,18.34,140,broken clouds,04d,Clouds
60,1522951200,44.6,1011,70,44.6,44.6,16.11,140,broken clouds,04d,Clouds
61,1522962000,44.6,1009,75,44.6,44.6,18.34,140,broken clouds,04n,Clouds
62,1522974600,44.6,1006,75,44.6,44.6,25.28,150,light rain,10n,Rain
63,1522983600,43.72,1005,93,42.8,44.6,20.8,150,light rain,10n,Rain
64,1522996200,44.6,1003,87,44.6,44.6,19.46,150,light rain,10d,Rain
65,1523005200,46.42,1001,87,44.6,48.2,18.34,130,light intensity driz,09d,Drizzle
66,1523016000,48.24,998,93,46.4,50.0,23.04,150,light intensity driz,09d,Drizzle
67,1523026800,52.68,997,71,51.8,53.6,23.04,200,broken clouds,04d,Clouds
68,1523037600,51.8,997,71,51.8,51.8,24.16,200,broken clouds,04d,Clouds
69,1523048400,49.08,1001,71,48.2,50.0,12.75,180,scattered clouds,03n,Clouds
70,1523059200,48.2,1002,76,48.2,48.2,14.99,210,broken clouds,04n,Clouds
71,1523072356,46.34,1013,93,46.34,46.34,9.69,186,broken clouds,04n,Clouds
72,1523080800,42.82,1004,93,41.0,44.6,5.82,80,broken clouds,04d,Clouds
73,1523091600,47.32,1005,93,46.4,48.2,9.17,140,broken clouds,04d,Clouds
74,1523100600,51.8,1005,71,51.8,51.8,4.7,320,broken clouds,04d,Clouds
75,1523113200,54.52,1004,71,53.6,55.4,5.82,160,broken clouds,04d,Clouds
76,1523124000,50.88,1006,76,50.0,51.8,4.7,20,proximity shower rai,09d,Rain
77,1523138400,42.82,1006,100,41.0,44.6,4.7,220,few clouds,02n,Clouds
78,1523149200,43.68,1007,93,42.8,44.6,11.41,240,few clouds,02n,Clouds
79,1523160000,44.6,1006,93,44.6,44.6,9.17,240,scattered clouds,03n,Clouds
80,1523170800,44.6,1006,93,44.6,44.6,4.7,360,few clouds,02d,Clouds
81,1523181600,51.82,1007,87,50.0,53.6,9.17,110,scattered clouds,03d,Clouds
82,1523192400,52.68,1008,76,51.8,53.6,6.93,120,light intensity show,09d,Rain
83,1523201400,53.6,1008,71,53.6,53.6,5.82,140,proximity shower rai,09d,Rain
84,1523212200,51.31,1010,87,48.2,53.6,4.7,340,proximity shower rai,09d,Rain
85,1523224800,44.6,1011,100,44.6,44.6,4.7,170,broken clouds,04n,Clouds
86,1523235600,43.66,1010,87,41.0,46.4,3.36,240,scattered clouds,03n,Clouds
87,1523246400,41.88,1009,93,41.0,42.8,6.93,240,scattered clouds,03n,Clouds
88,1523259000,47.32,1008,87,46.4,48.2,4.7,240,broken clouds,04d,Clouds
89,1523268000,51.8,1006,76,51.8,51.8,5.82,120,broken clouds,04d,Clouds
90,1523278800,53.6,1003,76,53.6,53.6,10.29,140,scattered clouds,03d,Clouds
91,1523292632,47.07,1010,91,47.07,47.07,10.49,139,Sky is Clear,01d,Clear
92,1523302200,48.42,1000,81,46.4,50.0,13.87,110,broken clouds,04n,Clouds
93,1523313000,44.6,999,93,44.6,44.6,8.05,50,broken clouds,04n,Clouds
94,1523323800,45.61,999,100,44.6,46.4,14.99,80,mist,50n,Mist
95,1523334600,44.6,1000,93,44.6,44.6,16.11,70,mist,50n,Mist
96,1523345400,44.6,1002,93,44.6,44.6,18.34,70,light intensity driz,09d,Drizzle
97,1523356200,44.6,1005,93,44.6,44.6,16.11,60,light intensity driz,09d,Drizzle
98,1523365200,44.6,1006,100,44.6,44.6,13.87,30,light intensity driz,09d,Drizzle
99,1523376000,44.6,1006,93,44.6,44.6,17.22,40,light intensity driz,09d,Drizzle
100,1523389916,45.92,1016,95,45.92,45.92,13.47,37,light rain,10n,Rain
101,1523399400,44.6,1009,93,44.6,44.6,9.17,50,light intensity driz,09n,Drizzle
102,1523410200,44.6,1010,100,44.6,44.6,11.41,60,mist,50n,Mist
103,1523421000,44.6,1010,100,44.6,44.6,10.29,80,mist,50n,Mist
104,1523431800,45.48,1010,93,44.6,46.4,9.17,70,mist,50d,Mist
105,1523442600,44.6,1010,93,44.6,44.6,13.87,60,mist,50d,Mist
106,1523453400,46.4,1009,87,46.4,46.4,13.87,40,broken clouds,04d,Clouds
107,1523462400,46.4,1008,87,46.4,46.4,12.75,60,broken clouds,04d,Clouds
108,1523464200,46.4,1008,87,46.4,46.4,12.75,60,broken clouds,04d,Clouds
109,1523466000,45.72,1008,93,44.6,46.4,12.75,50,broken clouds,04d,Clouds
110,1523469600,44.6,1008,93,44.6,44.6,14.99,60,broken clouds,04d,Clouds
111,1523473200,44.6,1008,93,44.6,44.6,11.41,60,light intensity driz,09d,Drizzle
112,1523475000,44.6,1008,93,44.6,44.6,13.87,70,light intensity driz,09n,Drizzle
113,1523476800,44.6,1008,93,44.6,44.6,13.87,70,light intensity driz,09n,Drizzle
114,1523485800,44.6,1008,100,44.6,44.6,12.75,70,light intensity driz,09n,Drizzle
115,1523496600,44.6,1007,93,44.6,44.6,12.75,80,light intensity driz,09n,Drizzle
116,1523507400,42.8,1005,100,42.8,42.8,12.75,70,light intensity driz,09n,Drizzle
117,1523518200,42.8,1006,100,42.8,42.8,12.75,70,light intensity driz,09d,Drizzle
118,1523527200,44.6,1006,100,44.6,44.6,9.17,80,light intensity driz,09d,Drizzle
119,1523538000,44.6,1006,100,44.6,44.6,11.41,80,light intensity driz,09d,Drizzle
120,1523550600,44.6,1005,93,44.6,44.6,11.41,50,mist,50d,Mist
121,1523561400,44.6,1005,93,44.6,44.6,6.93,60,mist,50n,Mist
122,1523572200,44.6,1005,93,44.6,44.6,10.29,40,light intensity driz,09n,Drizzle
123,1523583000,44.6,1005,93,44.6,44.6,8.05,40,light intensity driz,09n,Drizzle
124,1523593800,43.81,1005,100,42.8,44.6,6.93,10,light intensity driz,09n,Drizzle
125,1523602800,42.8,1005,100,42.8,42.8,9.17,10,light intensity driz,09d,Drizzle
126,1523615400,44.6,1006,93,44.6,44.6,4.7,30,mist,50d,Mist
127,1523631600,47.32,1007,93,46.4,48.2,8.05,160,broken clouds,04d,Clouds
128,1523642400,48.72,1008,93,46.4,50.0,5.82,130,broken clouds,04d,Clouds
129,1523653200,45.52,1010,100,44.6,46.4,6.93,130,broken clouds,04n,Clouds
130,1523664000,47.32,1011,87,46.4,48.2,4.7,170,broken clouds,04n,Clouds
131,1523673000,46.4,1011,75,46.4,46.4,8.05,200,Sky is Clear,01n,Clear
132,1523685600,43.74,1012,93,41.0,46.4,4.7,120,proximity shower rai,09d,Rain
133,1523696400,51.8,1012,81,51.8,51.8,11.41,150,light intensity show,09d,Rain
134,1523705400,53.6,1013,76,53.6,53.6,14.99,140,broken clouds,04d,Clouds
135,1523718000,53.6,1012,76,53.6,53.6,16.11,140,broken clouds,04d,Clouds
136,1523728800,52.97,1011,76,51.8,53.6,12.75,140,broken clouds,04d,Clouds
137,1523739600,48.22,1010,93,46.4,50.0,10.29,130,broken clouds,04n,Clouds
138,1523750400,48.22,1008,93,46.4,50.0,11.41,130,broken clouds,04n,Clouds
139,1523761200,47.32,1006,93,46.4,48.2,19.46,140,fog,50n,Fog
140,1523772000,48.2,1004,87,48.2,48.2,20.8,150,light rain,10d,Rain
141,1523782800,47.32,1002,100,46.4,48.2,20.8,130,light intensity driz,09d,Drizzle
